# Every natsrouter route registered in the fleet, as of this branch's base.
# service	registration	pattern (siteID substituted as the literal token "site1")
room-service	Register	chat.user.{account}.request.room.{roomID}.site1.teams.call
room-service	Register	chat.user.{account}.request.room.{roomID}.site1.teams.meeting
room-service	Register	chat.user.{account}.request.teams.site1.call.user
room-service	RegisterNoBody	chat.user.{account}.request.orgs.{orgID}.site1.members
room-service	RegisterNoBody	chat.user.{account}.request.room.{roomID}.site1.app.cmd-menu
room-service	RegisterNoBody	chat.user.{account}.request.room.{roomID}.site1.app.tabs
room-service	RegisterNoBody	chat.user.{account}.request.room.{roomID}.site1.favorite.toggle
room-service	RegisterNoBody	chat.user.{account}.request.room.{roomID}.site1.key.get
room-service	RegisterNoBody	chat.user.{account}.request.room.{roomID}.site1.member.list
room-service	RegisterNoBody	chat.user.{account}.request.room.{roomID}.site1.member.statuses
room-service	RegisterNoBody	chat.user.{account}.request.room.{roomID}.site1.message.read
room-service	RegisterNoBody	chat.user.{account}.request.room.{roomID}.site1.mute.toggle
room-service	RegisterNoBody	chat.user.{account}.request.room.{roomID}.site1.open
room-service	RegisterNoBody	chat.user.{account}.request.room.{roomID}.site1.subscription.mentionable
room-worker	Register	chat.server.request.room.site1.create.dm
search-service	Register	chat.user.{account}.request.search.site1.apps
search-service	Register	chat.user.{account}.request.search.site1.messages
search-service	Register	chat.user.{account}.request.search.site1.orgs
search-service	Register	chat.user.{account}.request.search.site1.rooms
search-service	Register	chat.user.{account}.request.search.site1.users
translation-service	Register	chat.user.{account}.request.translate.site1.text
user-presence-service	Register	chat.server.request.presence.site1.query.batch
user-presence-service	Register	chat.user.presence.site1.query.batch
user-presence-service	Register	chat.user.{account}.request.presence.site1.manual.set
user-presence-service	RegisterVoid	chat.user.{account}.event.presence.site1.activity
user-presence-service	RegisterVoid	chat.user.{account}.event.presence.site1.bye
user-presence-service	RegisterVoid	chat.user.{account}.event.presence.site1.hello
user-presence-service	RegisterVoid	chat.user.{account}.event.presence.site1.ping
user-service	Register	chat.server.request.user.site1.badge.count.batch
user-service	Register	chat.user.{account}.request.user.site1.apps.list
user-service	Register	chat.user.{account}.request.user.site1.chatlist.section.create
user-service	Register	chat.user.{account}.request.user.site1.chatlist.section.delete
user-service	Register	chat.user.{account}.request.user.site1.chatlist.section.rename
user-service	Register	chat.user.{account}.request.user.site1.chatlist.section.reorder
user-service	Register	chat.user.{account}.request.user.site1.chatlist.section.setsortmode
user-service	Register	chat.user.{account}.request.user.site1.profile.getByName
user-service	Register	chat.user.{account}.request.user.site1.settings.priorityContacts.add
user-service	Register	chat.user.{account}.request.user.site1.settings.priorityContacts.remove
user-service	Register	chat.user.{account}.request.user.site1.settings.set
user-service	Register	chat.user.{account}.request.user.site1.sso.set
user-service	Register	chat.user.{account}.request.user.site1.status.getByName
user-service	Register	chat.user.{account}.request.user.site1.status.set
user-service	Register	chat.user.{account}.request.user.site1.subscription.count
user-service	Register	chat.user.{account}.request.user.site1.subscription.getByRoomID
user-service	Register	chat.user.{account}.request.user.site1.subscription.getChannels
user-service	Register	chat.user.{account}.request.user.site1.subscription.getDM
user-service	Register	chat.user.{account}.request.user.site1.subscription.list
user-service	Register	chat.user.{account}.request.user.site1.subscription.setAppSubscription
user-service	Register	chat.user.{account}.request.user.site1.thread.list
user-service	Register	chat.user.{account}.request.user.site1.thread.read.all
user-service	Register	chat.user.{account}.request.user.site1.thread.unread.summary
user-service	RegisterNoBody	chat.user.{account}.request.user.site1.apps.categories
user-service	RegisterNoBody	chat.user.{account}.request.user.site1.chatlist.get
user-service	RegisterNoBody	chat.user.{account}.request.user.site1.me
user-service	RegisterNoBody	chat.user.{account}.request.user.site1.settings.get
user-service	RegisterNoBody	chat.user.{account}.request.user.site1.settings.priorityContacts.get
user-service	RegisterOptionalBody	chat.user.{account}.request.user.site1.sso.refresh
